Model,Task,Layer,Accuracy
2-Class_Model,词汇层_一词多义,0,0.5106382978723404
2-Class_Model,词汇层_一词多义,1,0.5106382978723404
2-Class_Model,词汇层_一词多义,2,0.6808510638297872
2-Class_Model,词汇层_一词多义,3,0.5531914893617021
2-Class_Model,词汇层_一词多义,4,0.5106382978723404
2-Class_Model,词汇层_一词多义,5,0.5106382978723404
2-Class_Model,词汇层_一词多义,6,0.5106382978723404
2-Class_Model,词汇层_一词多义,7,0.5106382978723404
2-Class_Model,词汇层_一词多义,8,0.5106382978723404
2-Class_Model,词汇层_一词多义,9,0.574468085106383
2-Class_Model,词汇层_一词多义,10,0.44680851063829785
2-Class_Model,词汇层_一词多义,11,0.44680851063829785
2-Class_Model,词汇层_一词多义,12,0.5531914893617021
2-Class_Model,词汇层_极性修饰词,0,0.4772727272727273
2-Class_Model,词汇层_极性修饰词,1,0.6136363636363636
2-Class_Model,词汇层_极性修饰词,2,0.5227272727272727
2-Class_Model,词汇层_极性修饰词,3,0.5227272727272727
2-Class_Model,词汇层_极性修饰词,4,0.5227272727272727
2-Class_Model,词汇层_极性修饰词,5,0.5227272727272727
2-Class_Model,词汇层_极性修饰词,6,0.5227272727272727
2-Class_Model,词汇层_极性修饰词,7,0.5227272727272727
2-Class_Model,词汇层_极性修饰词,8,0.5227272727272727
2-Class_Model,词汇层_极性修饰词,9,0.5227272727272727
2-Class_Model,词汇层_极性修饰词,10,0.4772727272727273
2-Class_Model,词汇层_极性修饰词,11,0.5227272727272727
2-Class_Model,词汇层_极性修饰词,12,0.5
2-Class_Model,句法层_比较句式,0,0.5102040816326531
2-Class_Model,句法层_比较句式,1,0.4897959183673469
2-Class_Model,句法层_比较句式,2,0.5102040816326531
2-Class_Model,句法层_比较句式,3,0.4897959183673469
2-Class_Model,句法层_比较句式,4,0.5102040816326531
2-Class_Model,句法层_比较句式,5,0.5102040816326531
2-Class_Model,句法层_比较句式,6,0.4897959183673469
2-Class_Model,句法层_比较句式,7,0.5102040816326531
